;_id;estado;direccion;Aeropuerto;Aestrenar;Agua;Alarma;Alcantarillado;Amoblado;Ano Construcción;Area Construcción;Ascensor;Autopista;Avenida;Balcon;Barbecue;Bodega;Cable;CasaColonial;Chimenea;Cocina;Colegio;Comercios;Concreto;Concurrida;Conserje;EdificioN;Estacionamiento;GasCentral;Generador;Gimnasio;Hospital;Iglesia;JInfantiles;Jacuzzi;Jardin;MedidorAgua;Mes Construcción;Moderno;Montania;NoAmbientes;NoBanos;NoDormitorios;NoEstacionamientos;Piscina;Playa;Reconstruido;Renovado;Residencial;Seguridad;Terraza;Terreno;Total M²;TransporteP;Trole;Turismo;Vista Panoramica;Walk;ZonaTranquila;NoAmb;NoBan;NoDorm;NoMetros;estadoTran;lat;lng;precio;price;tipoInv;tipoTran;titulo
1404;3ef69c7a50d88a06f898440cc5c0744789858723------CALLE C - Vencedores Del Pichincha - La Mena, Ecuador;;CALLE C - Vencedores Del Pichincha - La Mena, Ecuador;0;0;0;0;0;0;1998;317.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;25;4;8;0;0;0;0;0;1;0;1;200;317.0;1;1;0;0;0;1;25;4;8;317;;-0.267866;-78.564855;110000.0;110,000;Casa;De Venta;CALLE C  - Vencedores Del Pichincha  -  La Mena, Ecuador
1405;2f82a2a3ebe75f5414e8328da23d9c5324468cc0---Usada---Ponciano Alto - Ponceano, Ecuador;Usada;Ponciano Alto - Ponceano, Ecuador;0;0;0;0;0;0;2004;123.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;6;2;3;1;0;0;0;0;0;0;0;96;125.64;0;0;0;1;0;0;6;2;3;125.64;;-0.932812;-78.613211;110000.0;110,000;Casa;De Venta;Ponciano Alto  -  Ponceano, Ecuador
1406;ec854dab6c2b8d802f127c99c015a0ff94b400f3------Calle Leonidas Plaza - Calle Oriente - Guayaquil, Ecuador;;Calle Leonidas Plaza - Calle Oriente - Guayaquil, Ecuador;0;0;0;0;0;0;1990;580.0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;10;6;12;0;0;0;0;0;0;0;0;;600.0;0;0;0;1;0;0;10;6;12;600;;-2.190383;-79.902725;110000.0;110,000;Inversión;De Venta;Calle Leonidas Plaza  - Calle Oriente  -  Guayaquil, Ecuador
1407;1c61bfa08883f0c04d13eee7adf65e6b84d55159------La Joya , Etapa Rubi. - Guayaquil, Ecuador;;La Joya , Etapa Rubi. - Guayaquil, Ecuador;0;0;0;0;0;0;2015;104.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;128;128.0;0;0;0;0;0;0;0;0;0;128;;0.0;0.0;110000.0;110,000;Casa;De Venta;La Joya , Etapa Rubi.  -  Guayaquil, Ecuador
1408;7f3d52c88289cb66152e91e59b53a8b90943d014------Carlos Garzon - Tababela, Ecuador;;Carlos Garzon - Tababela, Ecuador;1;0;1;0;1;0;2020;;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;1000.0;1;0;0;0;0;0;0;0;0;1,000;;-0.173807;-78.348053;109900.0;109,900;Terreno;De Venta;Carlos Garzon  -  Tababela, Ecuador
1409;898f4cb41e0e4f0629368ac9ea8d8f51a6c4bc74---Usada---PIO XII - SUR DE QUITO - Pio XII - Chimbacalle, Ecuador;Usada;PIO XII - SUR DE QUITO - Pio XII - Chimbacalle, Ecuador;0;0;0;0;0;0;1998;241.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;180;241.0;0;0;0;0;0;0;0;0;0;241;;-0.243618;-78.507006;109000.0;109,000;Casa;De Venta;PIO XII  - SUR DE QUITO  - Pio XII  -  Chimbacalle, Ecuador
1410;cda4c8abcace16cf079a090ad6215cb18f68fef0------S6-105 MANUEL CORDOVA GALARZA - La Herlinda - Pomasqui, Ecuador;;S6-105 MANUEL CORDOVA GALARZA - La Herlinda - Pomasqui, Ecuador;0;0;0;1;0;0;2009;141.0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;34;175.0;1;0;0;1;0;0;0;0;0;175;;0.0;0.0;109000.0;109,000;Casa;De Venta;S6-105 MANUEL CORDOVA GALARZA  - La Herlinda  -  Pomasqui, Ecuador
1411;ef7514e09497f971197ca7d6c16be65add3e968b---Usada---Lorenzo de Garaycoa, 2215, Olmedo Centro, Guayaqui - Lorenzo de Garaycoa, Olmedo Centro, Guayaquil - Centro de Guayaquil - Guayaquil, Ecuador;Usada;Lorenzo de Garaycoa, 2215, Olmedo Centro, Guayaqui - Lorenzo de Garaycoa, Olmedo Centro, Guayaquil - Centro de Guayaquil - Guayaquil, Ecuador;0;0;1;0;1;0;1990;125.0;0;0;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;12;0;0;10;5;9;1;0;0;0;0;1;0;0;152;152.0;1;0;0;0;0;0;10;5;9;152;;-2.20053;-79.888129;109000.0;109,000;Casa;De Venta;Lorenzo de Garaycoa, 2215, Olmedo Centro, Guayaqui  - Lorenzo de Garaycoa, Olmedo Centro, Guayaquil  - Centro de Guayaquil  -  Guayaquil, Ecuador
1412;fb0d0252ebe2223ac29fe5b469b0130e9cf69e06------Av. América y Murgeon - Las Casas - Belisario Quevedo, Ecuador;;Av. América y Murgeon - Las Casas - Belisario Quevedo, Ecuador;0;0;1;0;0;0;1975;;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;5;3;2;1;0;0;0;0;1;0;0;;300.0;1;1;0;1;0;1;5;3;2;300;;-0.189085;-78.496799;109000.0;109,000;Departamento;De Venta;Av. América y Murgeon  - Las Casas  -  Belisario Quevedo, Ecuador
1413;b7c5d1a912e7bca6a46bbffd2f1cbfe92f90c488------las brevas - Las Brevas, El Inca - Jardines Del Inca - San Isidro Del Inca, Ecuador;;las brevas - Las Brevas, El Inca - Jardines Del Inca - San Isidro Del Inca, Ecuador;0;0;0;0;0;0;1988;150.0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;6;3;4;1;0;0;0;0;0;0;0;150;148.0;0;0;0;0;0;0;6;3;4;148;;-0.155885;-78.474974;109000.0;109,000;Casa;De Venta;las brevas  - Las Brevas, El Inca  - Jardines Del Inca  -  San Isidro Del Inca, Ecuador
